"id","questionid"
"BDO001_EXM02","–"
"COM001_EXM01","COM001_EXM01_Q1"
"COM001_EXM01","COM001_EXM01_Q10"
"COM001_EXM01","COM001_EXM01_Q2"
"COM001_EXM01","COM001_EXM01_Q3"
"COM001_EXM01","COM001_EXM01_Q4"
"COM001_EXM01","COM001_EXM01_Q5"
"COM001_EXM01","COM001_EXM01_Q6"
"COM001_EXM01","COM001_EXM01_Q7"
"COM001_EXM01","COM001_EXM01_Q8"
"COM001_EXM01","COM001_EXM01_Q9"
"COM001_EXM02","COM001_EXM02_Q1"
"COM001_EXM02","COM001_EXM02_Q10"
"COM001_EXM02","COM001_EXM02_Q2"
"COM001_EXM02","COM001_EXM02_Q3"
"COM001_EXM02","COM001_EXM02_Q4"
"COM001_EXM02","COM001_EXM02_Q5"
"COM001_EXM02","COM001_EXM02_Q6"
"COM001_EXM02","COM001_EXM02_Q7"
"COM001_EXM02","COM001_EXM02_Q8"
"COM001_EXM02","COM001_EXM02_Q9"
"COM002_EXM01","COM002_EXM01_Q1"
"COM002_EXM01","COM002_EXM01_Q10"
"COM002_EXM01","COM002_EXM01_Q2"
"COM002_EXM01","COM002_EXM01_Q3"
"COM002_EXM01","COM002_EXM01_Q4"
"COM002_EXM01","COM002_EXM01_Q5"
"COM002_EXM01","COM002_EXM01_Q6"
"COM002_EXM01","COM002_EXM01_Q7"
"COM002_EXM01","COM002_EXM01_Q8"
"COM002_EXM01","COM002_EXM01_Q9"
"DGS003_EXM01","DGS003_EXM01_Q1"
"DGS003_EXM01","DGS003_EXM01_Q10"
"DGS003_EXM01","DGS003_EXM01_Q2"
"DGS003_EXM01","DGS003_EXM01_Q3"
"DGS003_EXM01","DGS003_EXM01_Q4"
"DGS003_EXM01","DGS003_EXM01_Q5"
"DGS003_EXM01","DGS003_EXM01_Q6"
"DGS003_EXM01","DGS003_EXM01_Q7"
"DGS003_EXM01","DGS003_EXM01_Q8"
"DGS003_EXM01","DGS003_EXM01_Q9"
"EMF002_EXM01","EMF002_EXM01_Q01"
"EMF002_EXM01","EMF002_EXM01_Q02"
"EMF002_EXM01","EMF002_EXM01_Q03"
"EMF002_EXM01","EMF002_EXM01_Q04"
"EMF002_EXM01","EMF002_EXM01_Q05"
"EMF002_EXM01","EMF002_EXM01_Q06"
"EMF002_EXM01","EMF002_EXM01_Q07"
"EMF002_EXM01","EMF002_EXM01_Q08"
"EMF002_EXM01","EMF002_EXM01_Q09"
"EMF002_EXM01","EMF002_EXM01_Q10"
"EMF002_EXM02","EMF002_EXM02_Q1"
"EMF002_EXM02","EMF002_EXM02_Q10"
"EMF002_EXM02","EMF002_EXM02_Q2"
"EMF002_EXM02","EMF002_EXM02_Q3"
"EMF002_EXM02","EMF002_EXM02_Q4"
"EMF002_EXM02","EMF002_EXM02_Q5"
"EMF002_EXM02","EMF002_EXM02_Q6"
"EMF002_EXM02","EMF002_EXM02_Q7"
"EMF002_EXM02","EMF002_EXM02_Q8"
"EMF002_EXM02","EMF002_EXM02_Q9"
"EMF002_EXM02_AKL","EMF002_EXM02_AKL_Q1"
"EMF002_EXM02_AKL","EMF002_EXM02_AKL_Q2"
"EMF002_EXM02_AKL","EMF002_EXM02_AKL_Q3"
"EMF002_EXM02_AKL","EMF002_EXM02_AKL_Q4"
"EMF002_EXM02_AKL","EMF002_EXM02_AKL_Q5"
"EMF002_EXM02_CHC","EMF002_EXM02_CHC_Q1"
"EMF002_EXM02_CHC","EMF002_EXM02_CHC_Q2"
"EMF002_EXM02_CHC","EMF002_EXM02_CHC_Q3"
"EMF002_EXM02_CHC","EMF002_EXM02_CHC_Q4"
"EMF002_EXM02_CHC","EMF002_EXM02_CHC_Q5"
"EMF002_EXM02_DUD","EMF002_EXM02_DUD_Q1"
"EMF002_EXM02_DUD","EMF002_EXM02_DUD_Q2"
"EMF002_EXM02_DUD","EMF002_EXM02_DUD_Q3"
"EMF002_EXM02_DUD","EMF002_EXM02_DUD_Q4"
"EMF002_EXM02_DUD","EMF002_EXM02_DUD_Q5"
"EMF002_EXM02_QTN","EMF002_EXM02_QTN_Q1"
"EMF002_EXM02_QTN","EMF002_EXM02_QTN_Q2"
"EMF002_EXM02_QTN","EMF002_EXM02_QTN_Q3"
"EMF002_EXM02_QTN","EMF002_EXM02_QTN_Q4"
"EMF002_EXM02_QTN","EMF002_EXM02_QTN_Q5"
"EMF002_EXM02_WLG","EMF002_EXM02_WLG_Q1"
"EMF002_EXM02_WLG","EMF002_EXM02_WLG_Q2"
"EMF002_EXM02_WLG","EMF002_EXM02_WLG_Q3"
"EMF002_EXM02_WLG","EMF002_EXM02_WLG_Q4"
"EMF002_EXM02_WLG","EMF002_EXM02_WLG_Q5"
"HSW002_EXM01","HSW002_EXM01_Q01"
"HSW002_EXM01","HSW002_EXM01_Q02"
"HSW002_EXM01","HSW002_EXM01_Q03"
"HSW002_EXM01","HSW002_EXM01_Q04"
"HSW002_EXM01","HSW002_EXM01_Q05"
"HSW002_EXM01","HSW002_EXM01_Q06"
"HSW002_EXM01","HSW002_EXM01_Q07"
"HSW002_EXM01","HSW002_EXM01_Q08"
"HSW002_EXM01","HSW002_EXM01_Q09"
"HSW002_EXM01","HSW002_EXM01_Q10"
"ICT001_EXM01","ICT001_EXM01_Q1"
"ICT001_EXM01","ICT001_EXM01_Q10"
"ICT001_EXM01","ICT001_EXM01_Q2"
"ICT001_EXM01","ICT001_EXM01_Q3"
"ICT001_EXM01","ICT001_EXM01_Q4"
"ICT001_EXM01","ICT001_EXM01_Q5"
"ICT001_EXM01","ICT001_EXM01_Q6"
"ICT001_EXM01","ICT001_EXM01_Q7"
"ICT001_EXM01","ICT001_EXM01_Q8"
"ICT001_EXM01","ICT001_EXM01_Q9"
"LAW001_EXM01","LAW001_EXM01_Q01"
"LAW001_EXM01","LAW001_EXM01_Q02"
"LAW001_EXM01","LAW001_EXM01_Q03"
"LAW001_EXM01","LAW001_EXM01_Q04"
"LAW001_EXM01","LAW001_EXM01_Q05"
"LAW001_EXM01","LAW001_EXM01_Q06"
"LAW001_EXM01","LAW001_EXM01_Q07"
"LAW001_EXM01","LAW001_EXM01_Q08"
"LAW001_EXM01","LAW001_EXM01_Q09"
"LAW001_EXM01","LAW001_EXM01_Q10"
"LAW001_EXM02","LAW001_EXM02_Q_01"
"LAW001_EXM02","LAW001_EXM02_Q_02"
"LAW001_EXM02","LAW001_EXM02_Q_03"
"LAW001_EXM02","LAW001_EXM02_Q_04"
"LAW001_EXM02","LAW001_EXM02_Q_05"
"LAW001_EXM02","LAW001_EXM02_Q_06"
"LAW001_EXM02","LAW001_EXM02_Q_07"
"LAW001_EXM02","LAW001_EXM02_Q_08"
"LAW001_EXM02","LAW001_EXM02_Q_09"
"LAW001_EXM02","LAW001_EXM02_Q_10"
"LAW001_EXM03","LAW001_EXM03_Q1"
"LAW001_EXM03","LAW001_EXM03_Q10"
"LAW001_EXM03","LAW001_EXM03_Q2"
"LAW001_EXM03","LAW001_EXM03_Q3"
"LAW001_EXM03","LAW001_EXM03_Q4"
